"election_dt","contest_name","name_on_ballot","party_cd","ballot_count","FTP_date","percent_rpting","percent_ballot"
"11/02/2004","NC STATE HOUSE DISTRICT 17","Bonner Stiller","REP",16745,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 17","E. David Redwine","DEM",16288,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 2","Bill Culpepper","DEM",16949,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 20","Dewey L. Hill","DEM",19158,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 22","Edd Nye","DEM",18646,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 26","Leo Daughtry","REP",20320,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 29","Paul Miller","DEM",27249,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 3","Herbert M. Sobel","LIB",509,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 30","Paul Luebke","DEM",21245,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 32","Jim Crawford","DEM",18851,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 34","Don Munford","REP",17952,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 36","Nelson Dollar","REP",24166,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 37","H. Wade Minter","LIB",5064,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 39","Linda Coleman","DEM",18480,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 39","Sam Ellis","REP",15488,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 40","Rick Eddins","REP",29528,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 41","J. Russell Capps","REP",27743,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 42","Marvin W. Lucas","DEM",10746,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 43","Mary McAllister","DEM",11875,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 46","Douglas Y. Yongue","DEM",12913,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 49","Lucy T. Allen","DEM",15121,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 5","Howard Hunter, Jr.","DEM",18006,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 50","Bill Faison","DEM",21614,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 52","Richard T. Morgan","REP",23868,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 53","Louise Taylor","DEM",10217,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 55","W.A. (Winkie) Wilkins","DEM",22524,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 58","Olga Morgan Wright","REP",10374,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 6","Al Klemm","REP",13272,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 60","Earl Jones","DEM",18270,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 65","Nelson Cole","DEM",13890,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 66","Melanie Wade Goodwin","DEM",18240,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 67","June Mabry","DEM",10332,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 69","Hilda L. Morton","REP",8147,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 69","Pryor Gibson","DEM",14139,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 70","Arlie F. Culp","REP",19578,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 77","Mac Butner","REP",9751,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 78","Harold J. Brubaker","REP",20756,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 82","Carl Miller","LIB",3613,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 86","Walt Church","DEM",16029,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 88","Joel Harbinson","DEM",12096,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 88","Mark W. Hollo","REP",15587,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 90","Jack Conaway","REP",9698,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 93","Brandon Derr","LIB",1078,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","COMMISSIONER OF AGRICULTURE","Britt Cobb","DEM",1663910,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","COMMISSIONER OF AGRICULTURE","Steve Troxler","REP",1666197,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","COMMISSIONER OF INSURANCE","Jim Long","DEM",1934076,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","COURT OF APPEALS JUDGE (BRYANT)","Alice C. Stubbs","   ",1183962,2004-11-22 09:21:43.750000000,99,46
"11/02/2004","COURT OF APPEALS JUDGE (BRYANT)","Wanda G. Bryant","   ",1416123,2004-11-22 09:21:43.750000000,99,54
"11/02/2004","COURT OF APPEALS JUDGE (THORNBURG)","Barbara Jackson","   ",1399528,2004-11-22 09:21:43.750000000,99,55
"11/02/2004","DISTRICT ATTORNEY DISTRICT 16A","Kristy McMillan Newton","DEM",15775,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (ALEXANDER) DISTRICT 3B","Karen A. Alexander","   ",44835,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (ANDERSON) DISTRICT 15B","Charles Anderson","   ",48190,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (BAILEY) DISTRICT 10","Kris Bailey","   ",131880,2004-11-22 09:21:43.750000000,99,50
"11/02/2004","DISTRICT COURT JUDGE (BRADDY) DISTRICT 3A","G. Galen Braddy","   ",27795,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (BRIGGS) DISTRICT 24","Arlaine Rockey","   ",9486,2004-11-22 09:21:43.750000000,99,24
"11/02/2004","DISTRICT COURT JUDGE (BRITT) DISTRICT 7","John M. Britt","   ",52550,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (DAISY) DISTRICT 18","Sherry Fowler Alloway","   ",79650,2004-11-22 09:21:43.750000000,99,57
"11/02/2004","DISTRICT COURT JUDGE (DAVIS) DISTRICT 21","Chester C. Davis","   ",69514,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (FINCH) DISTRICT 9","Daniel F. Finch","   ",28747,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (GESSNER) DISTRICT 10","Paul G. Gessner","   ",190425,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (GRAHAM) DISTRICT 21","Richard M. Durham","   ",41873,2004-11-22 09:21:43.750000000,99,45
"11/02/2004","DISTRICT COURT JUDGE (HASSELL) DISTRICT 18","Greg Gorham","   ",65301,2004-11-22 09:21:43.750000000,99,49
"11/02/2004","DISTRICT COURT JUDGE (HINNANT) DISTRICT 18","Patrice A. Hinnant","   ",83774,2004-11-22 09:21:43.750000000,99,60
"11/02/2004","DISTRICT COURT JUDGE (HOUSTON) DISTRICT 23","Jeanie Reavis Houston","   ",37457,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (HOYLE) DISTRICT 27A","Reid C. James","   ",14424,2004-11-22 09:21:43.750000000,99,29
"11/02/2004","DISTRICT COURT JUDGE (HUNTER) DISTRICT 18","William K. (Pete) Hunter","   ",121917,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (JACKSON) DISTRICT 27A","James A. Jackson","   ",27642,2004-11-22 09:21:43.750000000,99,55
"11/02/2004","DISTRICT COURT JUDGE (LAWTON) DISTRICT 10","Donna Stroud","   ",126542,2004-11-22 09:21:43.750000000,99,50
"11/02/2004","DISTRICT COURT JUDGE (MCCORMICK) DISTRICT 11","James B. Ethridge","   ",42913,2004-11-22 09:21:43.750000000,99,55
"11/02/2004","DISTRICT COURT JUDGE (MCCORMICK) DISTRICT 11","O. Henry Willis, Jr.","   ",35003,2004-11-22 09:21:43.750000000,99,45
"11/02/2004","DISTRICT COURT JUDGE (MCSWAIN) DISTRICT 18","Lawrence C. McSwain","   ",120341,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (MERCER) DISTRICT 26","Fritz Mercer","   ",130839,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (MURPHY) DISTRICT 11","George R. Murphy","   ",50561,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (PAUL) DISTRICT 2","Michael A. Paul","   ",26947,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (POPE) DISTRICT 28","Marvin Pope","   ",53944,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (PROCTOR) DISTRICT 26","Nathaniel P. (Nate) Proctor","   ",125053,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (REINGOLD) DISTRICT 21","William B. Reingold","   ",67405,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (ROEMER) DISTRICT 21","Daniel B. (Dan) Anthony","   ",29571,2004-11-22 09:21:43.750000000,99,33
"11/02/2004","DISTRICT COURT JUDGE (SISK) DISTRICT 26","N. Todd Owens","   ",113907,2004-11-22 09:21:43.750000000,99,57
"11/02/2004","DISTRICT COURT JUDGE (SKERRETT) DISTRICT 29","Athena Brooks","   ",44762,2004-11-22 09:21:43.750000000,99,58
"11/02/2004","DISTRICT COURT JUDGE (WARREN) DISTRICT 13","Sofie Wonderly Hosford","   ",14763,2004-11-22 09:21:43.750000000,99,28
"11/02/2004","DISTRICT COURT JUDGE (WILLIAMS) DISTRICT 20","Joseph J. Williams","   ",34848,2004-11-22 09:21:43.750000000,99,46
"11/02/2004","LIEUTENANT GOVERNOR","Beverly Eaves Perdue","DEM",1888397,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","LIEUTENANT GOVERNOR","Christopher Cole","LIB",56368,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC Constitutional Amendment I","For","   ",1504391,2004-11-22 09:21:43.750000000,99,51
"11/02/2004","NC Constitutional Amendment III","For","   ",1984152,2004-11-22 09:21:43.750000000,99,68
"11/02/2004","NC STATE HOUSE DISTRICT 1","W.C. Bill Owens, Jr.","DEM",18873,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 103","Sid Sowers","DEM",12463,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 108","John Melvin Rayfield","REP",16505,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 110","Debbie Ann Clary","REP",14690,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 117","Wayne Bastedo","DEM",10111,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 118","Ray Rapp","DEM",21110,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 120","Roger West","REP",22375,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 14","George G. Cleveland","REP",11479,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 17","Edward Gore","LIB",550,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 18","Thomas E. Wright","DEM",14712,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 3","Alice Graham Underhill","DEM",15156,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 31","H.M. Mickey Michaux","DEM",23313,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 31","Michael P. Owen","LIB",3802,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 32","Tom Howe","LIB",2505,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 35","Graham Yarko Thomas","LIB",2870,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 36","Gary Goodson","LIB",5049,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 37","Paul Stam","REP",29596,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 45","Rick Glazier","DEM",15100,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 5","Larry Cooke, Jr.","LIB",3576,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 55","Tom Rose","LIB",2810,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 6","Arthur J. Williams III","DEM",16192,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 66","Edward J. O'Neal (Write-In)","UNA",990,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 70","Douglas Kania","LIB",1801,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 73","Michael Smith","LIB",3754,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 77","Lorene T. Coates","DEM",15026,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 79","Julia Craven Howard","REP",21225,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 82","Jeff Barnhart","REP",20942,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 83","Linda P. Johnson","REP",21648,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 84","C. Barry Williams","LIB",3082,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 84","Phillip Frye","REP",20718,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 85","Mitch Gillespie","REP",16047,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 87","Edgar V. Starnes","REP",15519,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 94","R. Tracy Walker","REP",20714,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 96","Mark K. Hilton","REP",19466,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 97","Ken H. Fortenberry","DEM",11374,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 13","David F. Weinstein","DEM",37829,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 17","Ryan Maas","LIB",1844,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 18","Bob Atwater","DEM",46875,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 18","Christine Mumma","REP",32709,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 19","Tony Rand","DEM",43413,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 2","Chuck Tyson","REP",29966,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 2","Richard C. Evey","LIB",1073,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 20","Ray Ubinger","LIB",5953,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 22","Oscar N. Harris","DEM",33229,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 26","Philip E. (Phil) Berger","REP",59618,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 27","Rusty Sheridan","LIB",1797,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 28","Katie G. Dorsett","DEM",47583,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 3","Beverly Moore","REP",18686,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 39","Robert Pittenger","REP",64948,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 43","David W. Hoyle","DEM",28264,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 46","James (Jim) Testa","REP",28409,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 48","Matthew C. Rogers","DEM",29327,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 8","R.C. Soles, Jr.","DEM",39897,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE SENATE DISTRICT 9","Woody White","REP",39601,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","PRESIDENT","David Cobb (Write-In)","UNA",108,2004-11-22 09:21:43.750000000,99,5
"11/02/2004","PRESIDENT","Ralph Nader (Write-In)","UNA",1805,2004-11-22 09:21:43.750000000,99,80
"11/02/2004","PRESIDENT","Walt Brown / Mary Alice Herbert (Write-In)","UNA",348,2004-11-22 09:21:43.750000000,99,15
"11/02/2004","SECRETARY OF STATE","Elaine F. Marshall","DEM",1911585,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","SECRETARY OF STATE","Jay Rao","REP",1423109,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","SUPERIOR COURT JUDGE DISTRICT 10D","Donald W. Stephens","   ",40148,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","SUPERIOR COURT JUDGE DISTRICT 14A","Orlando F. Hudson, Jr.","   ",21724,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","SUPERIOR COURT JUDGE DISTRICT 17A","Powell (P.W.) Watkins Glidewell IV","   ",8730,2004-11-22 09:21:43.750000000,99,30
"11/02/2004","SUPERIOR COURT JUDGE DISTRICT 26A (2 SEATS)","Linwood O. Foust","   ",15171,2004-11-22 09:21:43.750000000,99,27
"11/02/2004","SUPREME COURT ASSOCIATE JUSTICE (ORR)","James A. Wynn, Jr.","   ",508416,2004-11-22 09:21:43.750000000,99,20
"11/02/2004","TREASURER","Richard H. Moore","DEM",1812201,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","US CONGRESS DISTRICT 1","Greg Dority","REP",77508,2004-11-22 09:21:43.750000000,99,100
